Question Ref.,Ouestion Link,Asked by,Parliament Question,Date Lodged,Date Answered,Answered By,Answered Content,Web No.,Total Number of Pages
Question ref. S6W-00113,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00113,"Asked by: Wells, Annie, Gl",To ask the Scottish Government whether it will provide an update on what action it is taking to support homeowners who are facing difficulties in selling their properties due to building cladding.,2021-05-20,2021-06-02,Answered by Shona Rob,"Homeowners whose flats have external cladding are being offered a safety assessment, costs of the ‘Single Building Assessment’ announced on 19 March will be met by the Scottish Government. The whole building approach, will release affected buyers and sellers from difficulties in accessing mortgages without them having to pay for the current External Wall System (EWS1) Report on their individual property. ‎The phased approach to the introduction of SBA, started on 31 March with an invitation to affected homeowners to submit data about their buildings and ‘expression of interest’ in participating in a pilot exercise in June.Where problems are identified with the cladding system in place this will help to identify the scale of funding needed to take necessary remedial work. Where problems are not identified, this will assist with the property sale process.",450,461
Question ref. S6W-00070,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00070,"Asked by: Baillie, Jackie, Dumb",To ask the Scottish Government how many arrests were made by Police Scotland following the behaviour of some Rangers football fans on 15 May 2021 in Glasgow.,2021-05-19,2021-06-02,Answered by Keith B,Police Scotland have confirmed that 28 arrests have been made in connection with the disorder in Glasgow City Centre on 15 May 2021. Police Scotland have also confirmed that enquiries in relation to the disorder continue and where evidence exists more arrests may be made.,451,461
Question ref. S6W-00075,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00075,"Asked by: Rowley, Alex, Mid Scotland and","To ask the Scottish Government whether it will provide a breakdown of its planned spending on walking, cycling and wheeling over the next parliamentary year, until May 2022.",2021-05-18,2021-06-02,Answered by Graeme,"Spend on walking, wheeling and cycling increased to £115.5 million in 2021-22 and is budgeted over the financial year, rather than the parliamentary year. The budget for active travel is presented in the following table on the basis of the published Level 4 budgets:Active Travel Budget2021-22 (£m)From Sustainable and Active Travel Capital74.4From Sustainable and Active Travel Resource6.3From Future Transport Fund - Cycling Infrastructure10.9Local Government Capital Grant - Cycling Walking Safer Routes23.9Total115.5&nbsp;",451,461
Question ref. S6W-00084,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00084,"Asked by: Mundell, Oliver, Dumfries","To ask the Scottish Government, further to the answer to question S5W-35339 by Roseanna Cunningham on 25 February 2021, whether it will provide an update on the steps it is taking to improve the response times for enquiries to SEPA, given that responses to some routine enquiries are reported to be taking in excess of six months.",2021-05-18,2021-06-02,Answered by Michael Math,"Following the criminal cyber-attack on SEPA in December 2020, the Scottish Government is working with SEPA, Police Scotland, the National Cyber Security Centre and the Scottish Business Resilience Centre, to a clear recovery strategy in response to a complex and sophisticated cyber-attack.As part of this recovery strategy, frontline regulatory and flood warning services continue to be prioritised. SEPA’s Floodline and Pollution Hotline contact points continue to operate. The agency has increased resource to respond to customer enquiries, with customer enquiry backlogs, in areas such as environmental incident and permitting, being cleared.SEPA has advised that regulatory teams have been deployed on over 170 occasions since January. Furthermore, 154 flood guidance statements have been issued and over 1045 regional flood alerts and local flood warnings have been issued.SEPA has reported that since January, over 1,650 industrial pollution prevention and control, water environment, waste and other authorisations have been issued, with new high volume online services introduced for registrations of septic tanks. The Agency has completed or is progressing 304 planning cases to support Scotland’s recovery, engaging with 33 of 39 local councils to date.",451,461
Question ref. S6W-00100,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00100,"Asked by: Mundell, Oliver, Dumfries",To ask the Scottish Government what plans there are to replace the passenger footbridge at Kirkconnel Railway Station to improve platform access for disabled people.,2021-05-19,2021-06-02,Answered by Graeme,"Accessibility is a reserved matter under the Devolution Settlement and for rail accessibility there is a DfT-sponsored fund, Access for All, that enables eligible projects to be supported. Unfortunately, Kirkconnel did not fulfil the criteria for funding under that programme. Accordingly, an application was made by SWestrans to the Scottish Government’s Local Rail Development Fund to assess the need for the bridge.The application was successful and £30,000 was allocated for a study. SWestrans subsequently began engagement with the local community and disability representatives which was then unfortunately paused due to the Covid-19 pandemic and associated restrictions. Transport Scotland is keen SWestrans continues to make progress with this project and will work with SWestrans to provide any assistance if required.",451,461
Question ref. S6W-00198,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00198,"Asked by: Duncan-Glancy, Pam, Gl","To ask the Scottish Government, in relation to Glasgow City, on what date it was informed that the B.1.617 strain of COVID-19 was (a) a variant of interest or (b) under investigation, and on what date it was informed that it was a variant of concern.",2021-05-24,2021-06-02,Answered by John Swi,"The B.1.617.2 variant (subtype of the B.1.617 variant) of SARS-CoV-2, cases of which have been identified in Glasgow, was classified as a variant under investigation (VUI-21APR-02) on 28 April 2021. It was escalated to a variant of concern on 6 May 2021 (VOC-21APR-02).Upon escalation, the Scottish Government worked with public health officials and have monitored the progress of this variant and have deployed appropriate measures where cases have been identified.Coronavirus variants are classified a variant under investigation or variant of concern for the whole UK by Public Health England working with the other Public Health Agencies.",451,461
Question ref. S6W-00173,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00173,"Asked by: Rennie, Willie, North East",To ask the Scottish Government what due diligence it undertook prior to agreeing (a) the initial Lochaber Contingent Liability with the GFG Alliance and (b) the revised business plan.,2021-05-24,2021-06-02,Answered by Ivan M,"The Scottish Government supported by its external legal and commercial advisors carried out appropriate due diligence in relation to GFG plans. The Lochaber contingent liability was approved by the Finance and Constitution Committee, which had cross party representation, in November 2016. ",451,461
Question ref. S6W-00069,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00069,"Asked by: Baillie, Jackie, Dumb",To ask the Scottish Government what steps were taken by Police Scotland and others prior to the Rangers football fans gatherings on 15 May 2021 to avoid such large events.,2021-05-19,2021-06-02,Answered by Keith B,"The Scottish Government worked closely with Rangers Football Club, Police Scotland and Glasgow City Council to prepare and provide appropriate communications and support the policing plan informed by the events of 6 and 7 March when Rangers FC were confirmed as champions and cognisant of the significant occasion for the club.Operational policing decisions are matters for the Chief Constable, however Police Scotland confirmed that an appropriate policing plan was in place to maintain public safety and minimise any disruption to the community.",451,461
Question ref. S6W-00175,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00175,"Asked by: Rennie, Willie, North East","To ask the Scottish Government, further to the letter of 11 February 2021 from the Cabinet Secretary for the Rural Economy to the Finance and Constitution Committee, whether it will provide a breakdown of the commercial fees (a) received and (b) it expects to receive in future, and the dates and value of these fees.",2021-05-24,2021-06-02,Answered by Ivan M,The Scottish Government receives a commercial fee for the contingency liability which the Finance and Constitution Committee approved in 2016. The level of the guarantee fee and the fee arrangements are commercially confidential.,451,461
Question ref. S6W-00068,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00068,"Asked by: Baillie, Jackie, Dumb",To ask the Scottish Government what discussions it had with Police Scotland and Rangers FC prior to 15 May 2021 regarding potential concerns in relation to the mass gathering of football fans.,2021-05-19,2021-06-02,Answered by Keith B,"The former Cabinet Secretary for Justice Humza Yousaf MSP, and Scottish Government officials had extensive engagement with Rangers Football Club, Police Scotland and Glasgow City Council to discuss the preparations for the fixture on 15 May.",451,461
Question ref. S6W-00242,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00242,"Asked by: Hoy, Craig, South Sco",To ask the Scottish Government how it will ensure the full recovery of mental health services following the COVID-19 pandemic.,2021-05-25,2021-06-02,Answered by Kevin Ste,"On 8 October, we published  Scotland’s Mental Health Transition and Recovery Plan  . The plan commits to developing a renewal programme for mental health services, to support Covid-19 recovery. This includes a tailored programme of enhanced improvement support for those NHS Boards with the longest waits to address backlogs and recover Mental Health performance over 2021-22.The plan is backed by a £120 million Mental Health Recovery and Renewal Fund, which takes our total spend on mental health in 2021-22 in excess of £1.2 billion. It will prioritise our ongoing work to improve specialist CAMHS services, address long waiting times, and clear waiting list backlogs.",451,461
Question ref. S6W-00055,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00055,"Asked by: Baillie, Jackie, Dumb",To ask the Scottish Government what discussions it has had with ScotRail in regard to the ongoing industrial action.,2021-05-17,2021-06-02,Answered by Graeme,"Responsibility for collective bargaining rests with ScotRail and the Unions concerned. The Scottish Government has advised both railway Unions and ScotRail of the substantial additional funding provided to maintain full employment of railway staff throughout the pandemic period. And therefore, that any pay increase, including any further increase to overtime payments for rest day working, would need to be funded by efficiencies agreed through meaningful discussions. Throughout the process, the Scottish Government has encouraged all parties to resolve this issue for the benefit of passengers, staff, the environment and the economy. ",452,461
Question ref. S6W-00174,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00174,"Asked by: Rennie, Willie, North East","To ask the Scottish Government whether it will immediately conduct a review of its agreements, documentation and contacts with the GFG Alliance in light of reports that the Serious Fraud Office has initiated an investigation into the GFG Alliance.",2021-05-24,2021-06-02,Answered by Ivan M,The Scottish Government is aware of the Serious Fraud Office investigation but does not comment on matters which are subject to a live criminal investigation.,452,461
Question ref. S6W-00179,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00179,"Asked by: Cole-Hamilton, Alex, Edinburgh We",To ask the Scottish Government what support it will offer to people on restricted incomes to install interlinked heat and smoke detectors in their properties in advance of the February 2022 deadline.,2021-05-21,2021-06-02,Answered by Shona Rob,"While it will be the responsibility of the homeowner to meet the new fire and carbon monoxide alarm standard, we have provided over £1m funding to the Scottish Fire and Rescue Service to support them to install alarms for people at high risk of fire. In addition, local authorities have broad discretionary powers to provide advice and assistance to home owners with work needed to look after their homes, as they are best placed to determine what assistance should be provided in their area. We are continuing to review support people need to make the appropriate changes, including a marketing campaign later in the year to ensure strong awareness of the changes, and we will continue to keep parliament updated.",452,461
Question ref. S6W-00056,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00056,"Asked by: Baillie, Jackie, Dumb",To ask the Scottish Government what action it is taking to resolve the industrial action by ScotRail staff that is impacting on the delivery of train services.,2021-05-17,2021-06-02,Answered by Graeme,"I refer the member to the answer to question S6W-00055 on‎ 2 June 2021. All answers to written Parliamentary Questions are available on the Parliament's website, the search facility for which can be found at:  https://www.parliament.scot/chamber-and-committees/written-questions-and-answers",452,461
Question ref. S6W-00171,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00171,"Asked by: Rennie, Willie, North East","To ask the Scottish Government, further to the letter of 11 February 2021 from the Cabinet Secretary for the Rural Economy to the Finance and Constitution Committee, whether it will provide an update on the progress since that date of (a) Project Silver, (b) Project Corpach and (c) Project Loch; how many additional jobs it anticipates each will create, and how this compares to the original business plan.",2021-05-24,2021-06-02,Answered by Ivan M,"The GFG Alliance continues to invest in and progress its expansion plans for its Fort Williams operations and has published details on the ALVANCE Aluminium website  https://alvancealuminiumgroup.com/news/expansion-plans-fort-william/  .The GFG Alliance’s new investment plans still require to go through the formal planning approval process with the Highland Council. Depending planning approvals, the business has indicated that the new integrated business plan and associated developments will secure the long-term future of the Fort William aluminium smelter, safeguarding 200 direct local jobs and creating 70 new direct high quality roles.",452,461
Question ref. S6W-00037,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00037,"Asked by: O'Kane, Paul, West Sco","To ask the Scottish Government how many applications have been made for universities places for 2021-22, and what action is being taken to support universities in coping with any variations in demand.",2021-05-14,2021-06-01,Answered by Jamie Hep,"Following exam changes in 2020, the Scottish Government asked the Scottish Funding Council to fund additional places in Scotland’s universities in AY 2020-21. These places will continue to be funded in AY 2021-22 along with further additional places for affected 2020 students starting their studies in AY ‎ 2021-22.Universities and Colleges Admission Service (UCAS) data covering the 2021 cycle, published in February, shows that, in total across all domiciles, there were 132,960 applicants making 310,190 applications for a Scottish University by the January deadline.The following link provides further details, including specific domicile groupings:https://www.ucas.com/data-and-analysis/undergraduate-statistics-and-reports/ucas-undergraduate-releases/applicant-releases-2021/2021-cycle-applicant-figures-january-deadline The Scottish Funding Council continues to work closely with the Universities to determine their AY 2021-22 requirement as definitive student numbers will not be known until courses start.",452,461
Question ref. S6W-00046,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00046,"Asked by: Gray, Neil, Airdrie and S",To ask the Scottish Government whether it will provide an update on the building of the new Monklands Hospital at Wester Moffat in Airdrie.,2021-05-14,2021-06-01,Answered by Humza Yo,"In January 2021, the then Cabinet Secretary for Health and Sport accepted the NHS Lanarkshire’s recommendation of Wester Moffat as the preferred site option for a new University Hospital Monklands. NHS Lanarkshire is currently preparing an Outline Business Case which will then be submitted to Scottish Government for consideration.",452,461
Question ref. S6W-00131,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00131,"Asked by: Burnett, Alexander, Aberdeenshire","To ask the Scottish Government, in light of its plan to offer the COVIID-19 vaccination to people aged 18 to 39 in some areas of Glasgow, whether it will reconsider the request from the offshore oil and gas sector to be given priority access to phase 2 of the COVID-19 vaccination programme.",2021-05-20,2021-06-01,Answered by Humza Yo,"Concerns raised over the rising number of Covid-19 cases in South Glasgow over the past several days and its links to the more infectious Indian variant of COVID-19 B.1.617.2.The JCVI highlighted the need to accelerate and promote vaccine uptake for everyone within priority groups 1-9 who have yet to be vaccinated, and bring forward the dose schedule from 12 to 8 weeks in areas where the 02 variant is of the highest threat.The JCVI’s advice is that an age-based approach is the best way to quickly protect those who haven’t yet had the vaccine.",452,461
Question ref. S6W-00064,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00064,"Asked by: Briggs, Miles, Lo","To ask the Scottish Government, further to the answer to question S5W-27605 by John Swinney on 10 March 2020, whether it will provide the same information for 2019-20.",2021-05-17,2021-06-01,Answered by Shirley-Anne Somerv,"Spending data on additional support for learning (ASL) is provided below. This data is collected from local authorities via the Local Financial Returns (LFR). In addition to 2019-20 expenditure data, figures for 2018-19 have also been provided due to revisions in LFR statistics since the response to ‎ S5W-27605. These revisions reflect an upward revision in ASL spending reported by North Lanarkshire, and a downwards revision in ASL spending reported by Stirling local authority.Local authorities are asked to provide this data in line with guidance to ensure returns are completed on a consistent basis to allow for a reasonable degree of comparability. However, these figures may be affected by variations in local accounting practices and education strategies. It is important to bear this in mind when making comparisons between local authorities and years.Local authorities are asked to record all centrally funded ASL expenditure under Special Education, irrespective of where it is delivered. Decisions about prioritisation and budgets, including those for the provision of services for pupils with additional support needs, are a matter for individual councils. We recognise the challenges facing authorities in balancing their need to meet a wide range of statutory duties, local priorities and local circumstances.Tables 1 and 2 shows gross revenue expenditure on additional support for learning (ASL) education from 2019-20 and 2018-19 respectively, split by Pre-Primary, Primary, Secondary and Special Education.Table 1 – 2019-20 ASL expenditure by Local Authority (£000)&nbsp;Pre-Primary EducationPrimary EducationSecondary EducationSpecial EducationTotalAberdeen City06,8195,96211,06623,847Aberdeenshire00035,30635,306Angus00010,82410,824Argyll &amp; Bute5983,5394,0342,69010,861City of Edinburgh04135,07235,077Clackmannanshire0008,4348,434Dumfries &amp; Galloway00019,56019,560Dundee City1743,9231,8197,50113,417East Ayrshire00019,23919,239East Dunbartonshire2021,9391,78911,81315,743East Lothian762,8702,0509,56314,559East Renfrewshire5821,4971,2557,96511,299Falkirk00023,38623,386Fife00036,81736,817Glasgow City4,09016,73214,93971,732107,493Highland00038,26538,265Inverclyde2060010,79911,005Midlothian363,1972,23411,30316,770Moray00014,00914,009Na h-Eileanan Siar0004,9454,945North Ayrshire00014,65514,655North Lanarkshire51512,6515,59131,60750,364Orkney Islands01,4701,3061,2294,005Perth &amp; Kinross2762,1951,46813,34017,279Renfrewshire1,1032,8405,28315,34324,569Scottish Borders00011,16311,163Shetland Islands0006,7796,779South Ayrshire00018,03418,034South Lanarkshire4377,9938,29118,06634,787Stirling731,2402,3577,41311,083West Dunbartonshire4072,8362,21912,42717,889West Lothian00022,43222,432All Local Authorities8,77571,74560,598562,777703,895Source: Local Financial Returns – Education (LFR 01) statistical return provided by local authorities to the Scottish Government.Table 2 – 2018-19 ASL expenditure by Local Authority (£000)&nbsp;Pre-Primary EducationPrimary EducationSecondary EducationSpecial EducationTotalAberdeen City08,7754,11010,21623,101Aberdeenshire00033,97033,970Angus0009,0659,065Argyll &amp; Bute5443,2223,6732,5539,992City of Edinburgh05436,86936,878Clackmannanshire0008,6498,649Dumfries &amp; Galloway00018,61718,617Dundee City2113,6331,7016,70012,245East Ayrshire00014,82714,827East Dunbartonshire1231,7981,57310,70314,197East Lothian02,7861,9908,93013,706East Renfrewshire4352,0571,4267,16311,081Falkirk00020,49220,492Fife00034,49734,497Glasgow City3,18315,48913,73165,44597,848Highland00040,94140,941Inverclyde201009,3869,587Midlothian323,2812,09710,89316,303Moray00013,51813,518Na h-Eileanan Siar0004,7724,772North Ayrshire00014,17714,177North Lanarkshire55611,3385,19229,32146,407Orkney Islands101,2991,0531,6864,048Perth &amp; Kinross2571,9611,19412,60216,014Renfrewshire1,1193,6383,24614,88922,892Scottish Borders00010,97910,979Shetland Islands0006,0966,096South Ayrshire00015,68715,687South Lanarkshire5508,3718,70318,92536,549Stirling731,1841,9457,67310,875West Dunbartonshire3972,7171,47011,59216,176West Lothian00020,58720,587All Local Authorities7,69171,55453,108532,420664,773Source: Local Financial Returns – Education (LFR 01) statistical return provided by local authorities to the Scottish Government.All figures in tables 1 and 2 are based on gross expenditure on a funding basis. This means they have not been adjusted for inter / intra authority transfers.Table 3 shows the percentage of total gross revenue expenditure on education by local authorities which was accounted for by spending on additional support for learning in 2019-20. From 2019-20 onwards education expenditure no longer includes contributions to integration joint boards, representing 0.04% of education expenditure in 2018-19.Table 3 – Share of education expenditure accounted for by ASL&nbsp;2018-192019-20Aberdeen City13%12%Aberdeenshire12%11%Angus8%9%Argyll &amp; Bute9%9%City of Edinburgh9%8%Clackmannanshire15%13%Dumfries &amp; Galloway12%12%Dundee City8%9%East Ayrshire11%13%East Dunbartonshire11%11%East Lothian14%13%East Renfrewshire9%9%Falkirk12%13%Fife10%9%Glasgow City16%16%Highland15%14%Inverclyde11%12%Midlothian16%15%Moray15%14%Na h-Eileanan Siar11%10%North Ayrshire9%9%North Lanarkshire12%12%Orkney Islands12%11%Perth &amp; Kinross10%10%Renfrewshire14%13%Scottish Borders9%9%Shetland Islands12%12%South Ayrshire13%14%South Lanarkshire11%9%Stirling10%10%West Dunbartonshire15%15%West Lothian10%11%All Local Authorities12%12%Source: Local Financial Returns – Education (LFR 1) statistical return provided by local authorities to the Scottish Government.Table 4 shows the average per-pupil spending on additional support for learning by local authority. More precisely, this calculation shows gross revenue expenditure on additional support for learning in primary, secondary and special education from the local financial returns, divided by the number of pupils identified as having additional support needs recorded in the Pupil Census.Table 4 – ASL spending per pupil (£, cash terms)&nbsp;2018-192019-20Aberdeen City3,2402,883Aberdeenshire2,2892,276Angus3,4313,354Argyll &amp; Bute3,8934,561City of Edinburgh2,5061,737Clackmannanshire4,6104,211Dumfries &amp; Galloway2,9873,168Dundee City2,9202,027East Ayrshire3,4554,423East Dunbartonshire4,1374,310East Lothian3,7734,111East Renfrewshire2,8062,740Falkirk3,5613,803Fife2,9072,898Glasgow City3,7043,979Highland3,2352,980Inverclyde3,4973,801Midlothian4,7414,389Moray3,4213,340Na h-Eileanan Siar4,6694,862North Ayrshire2,7462,711North Lanarkshire5,5035,602Orkney Islands5,0544,768Perth &amp; Kinross2,6072,783Renfrewshire3,7013,833Scottish Borders2,3082,231Shetland Islands5,6555,849South Ayrshire4,6184,952South Lanarkshire3,0852,787Stirling3,1573,061West Dunbartonshire3,4403,662West Lothian2,7032,593All Local Authorities3,3063,224Sources:1. Local Financial Returns – Education (LFR 01) statistical return provided by local authorities to the Scottish Government.2. Pupil Census – 2019 school statistics collected by Scottish Government",452,461
Question ref. S6W-00137,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00137,"Asked by: MacGregor, Fulton, Coatbridge and Chr","To ask the Scottish Government what its position is on the final report of the Site Recovery Group for St Ambrose and Buchanan High Schools in Coatbridge, and what discussions it has had with North Lanarkshire Council regarding the four key conclusions made by the Chair, including that ""they require ongoing attention or because the Site Recovery Group is yet to be convinced that a solution has been found.""",2021-05-20,2021-06-01,Answered by Shirley-Anne Somerv,"The establishment of the Site Recovery Group was one of the recommendations from the report of the Buchanan and St Ambrose Independent Review, and we welcome the Group's report.North Lanarkshire Council has assured us that it is taking action as quickly as possible to resolve the issues raised by the Chair within the Group’s report.As it is the statutory responsibility of local authorities to manage their school estate, any further questions on this matter should be put to the Council directly.",452,461
Question ref. S6W-00130,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00130,"Asked by: Johnson, Daniel, Edinburgh Sou",To ask the Scottish Government what impact the introduction of Gaelic medium education in Edinburgh will have on the (a) funding and (b) timing of the proposed New Liberton High School.,2021-05-20,2021-06-01,Answered by Shirley-Anne Somerv,"In December 2020, the Scottish Government were delighted to announce that Liberton High School would be included within Phase 2 of the £2 billion Learning Estate Investment Programme.We remain committed to this funding commitment and expect Phase 2 projects, including the replacement for Liberton High School, to be completed by December 2025.",453,461
Question ref. S6W-00079,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00079,"Asked by: Rowley, Alex, Mid Scotland and",To ask the Scottish Government what age groups of children will be covered by its policy to provide a bicycle to children who cannot afford one.,2021-05-18,2021-06-01,Answered by Graeme,We are currently considering options to deliver this policy which will be informed by pilot projects. Further information on the age groups to be covered will be confirmed once the details have been agreed.,453,461
Question ref. S6W-00139,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00139,"Asked by: Wishart, Beatrice, Shetland Is",To ask the Scottish Government what consideration it has given to COVID-19 vaccinations for under-18s ahead of the start of the 2021-22 university and college term.,2021-05-21,2021-06-01,Answered by Humza Yo,"All of our decision making in the approach to responding to Covid-19 is guided by the latest scientific evidence from the Scientific Advisory Group for Emergencies  (SAGE)  , advice from Health Protection Scotland and our Chief Medical Officer. The Joint Committee on Vaccination and Immunisation (JCVI) provides advice on immunisation to all UK Health Departments, including on the efficacy and safety of vaccines.Current JCVI advice does not cover vaccination in those under 18 years old, so far only 16 and 17 years olds in groups 1 -9 are covered.Clinical trials are currently underway for vaccination of children and young people.We will continue to engage with vaccine developers, and the JCVI so that if trials are successful we are ready to vaccinate younger age groups, if that is what the clinical and scientific evidence supports.",453,461
Question ref. S6W-00078,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00078,"Asked by: Rowley, Alex, Mid Scotland and",To ask the Scottish Government how many bicycles it has estimated will be needed each year in order to fulfil its policy to provide a bicycle for children who cannot afford one.,2021-05-18,2021-06-01,Answered by Graeme,We are currently considering options to deliver this scheme which will be informed by pilot projects. Final decisions on how the policy will be implemented will determine the number of bikes required.,453,461
Question ref. S6W-00165,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00165,"Asked by: Duncan-Glancy, Pam, Gl","To ask the Scottish Government what its position is on whether the funding it provided to (a) Glasgow City Council and (b) all local authorities in its Budget for the current financial year was sufficient to protect community facilities, and whether it plans to increase the amount of funding it provides to local authorities during the current parliamentary session.",2021-05-21,,Answered by Tom Ar,"The 2021-22 local government finance settlement of almost £11.7 billion includes an additional £375.6 million. or 3.5 per cent for day-to-day revenue spending and represents a fair settlement. In addition, the value of the overall COVID-19 support package for councils now totals more than £1.5 billion and the Scottish Government also agreed a package of financial flexibilities for Scotland's councils to provide further assistance in responding to the pandemic.Glasgow City Council will receive a total funding package of almost £1.5 billion to support local services, which includes an extra £29.8 million to support vital day to day services, equivalent to an increase of 2.2 per cent compared to 2020-21. To date, the council has been allocated an additional £221.7 million to respond to the COVID-19 pandemic, through the local government settlement - over and above their regular grant payments.In addition, Glasgow City Council will receive their fair share of a further £137 million included in the original 2021-22 local government finance settlement which is currently undistributed. The Council will also receive their fair share of the subsequent 2021-22 funding since the announcement of the settlement and any future funding will continue to be discussed and agreed with COSLA.However, it is the responsibility of individual councils to manage their own budgets and to allocate the financial resources available to them, including on community facilities, on the basis of local needs and priorities. Ultimately, it is for locally elected representatives to make local decisions on how best to deliver services to their local communities.Decisions on local government budget allocations for future years are subject to the outcome of negotiations with COSLA.",453,461
Question ref. S6W-00050,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00050,"Asked by: Ruskell, Mark, Mid Scotland and","To ask the Scottish Government what the average waiting time is for a CAMHS autism assessment, and what steps are being taken to address any backlog due to the COVID-19 pandemic.",2021-05-17,2021-06-01,Answered by Kevin Ste,The information requested is not held centrally. Aggregate CAMHS waiting times statistics are published by Public Health Scotland every quarter and report on waiting times from referral to first treatment appointment. Health Boards have just been allocated £4.25 million for 2021-22 from the £120m Recovery and Renewal Fund to clear CAMHS backlogs. Those Boards with the longest waits are also receiving enhanced improvement support to deliver local recovery plans by mid- June.,453,461
Question ref. S6W-00081,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00081,"Asked by: Burnett, Alexander, Aberdeenshire","To ask the Scottish Government whether it will consider changing its guidance so that children under the age of 18, from the same household, do not count towards the total number of people meeting both outdoors and indoors, in light of restrictions on larger families with teenagers who are still unable to meet with one other family household, and in consideration of the effects of isolation on young people’s mental health.",2021-05-18,2021-06-01,Answered by John Swi,"The Scottish Government regularly reviews restrictions on indoor and outdoor socialising to ensure they are appropriate and proportionate to the health risks and the direct harms of the virus. This past year has been highly challenging for our young people who have had to stay away from family members living in other households, including grandparents. We have made significant progress in suppressing the virus and vaccinating a growing proportion of the population over the last few months, but the virus has not gone away and we remain at risk from new, more transmissible variants which may become resistant to the vaccines. The Scottish Government’s approach is that only children under 12 years old do not count towards numbers indoors and outdoors, although they do count towards the number of households indoors. Close contact does still carry risks especially if it is indoors and amongst large groups of adults from multiple households. In recognition of the effects on young people’s health and wellbeing, the Scottish Government has allowed 4 12-17 year olds from 4 different households to meet outdoors in Level 4, increasing to 6 people (including 12-17 year olds) from 6 households in Level 3, 8 people from 8 households in Level 2 and this will increase to 12 people from 12 households in Level 1. Additionally, from 17 May the guidance was changed to make it clear that people can hug family members and loved ones indoors in a private dwelling or in their garden within the permitted limits. ",453,461
Question ref. S6W-00134,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00134,"Asked by: Lennon, Monica, Central Sco","To ask the Scottish Government what action it is taking to ensure that people who are on frontline placements with the NHS or other public sector organisations, and who require to drive to carry out their duties, will be able to access driving tests and driving theory tests, in light of the reported backlog caused by the COVID-19 pandemic.",2021-05-20,2021-06-01,Answered by Graeme,"The UK government`s Driver and Vehicle Standards Agency (DVSA) is responsible for the delivery of driving tests in Scotland, however the Scottish government works closely with the DVSA to ensure that waiting times to access a driving test are minimised as much as possible. In collaboration with the DVSA we secured delegated authority earlier this year for some transport operators and the emergency services to undertake driving tests for their own staff, thereby reducing the numbers of people awaiting tests at DVSA test centres. In advance of driving tests resuming when Scotland moved to Protection Level 3 on 26 April 2021, we engaged with DVSA on their remobilisation plans and the development of communications materials to ensure that candidates were “test ready” when they presented for a test. We continue to meet regularly with the DVSA to discuss ways in which we can expedite access to driving tests.",453,461
